,Current TVL,2019,2020,1/2021,2/2021,3/2021,4/2021,5/2021,6/2021,7/2021,8/2021,9/2021,10/2021,11/2021,12/2021,2021TD
ETH,,148.59%,2113.76%,-99.86%,3.01%,7.37%,17.24%,-5.54%,-3.98%,4.82%,13.51%,-5.83%,22.78%,1.61%,46109.23%,
SOL,,,,,,,21.72%,543.71%,-99.23%,221.85%,4950.74%,-61.72%,-53.52%,-76.85%,955.50%,
AVAX,,,,,,65.23%,-100.00%,2241.94%,503646.29%,-80.26%,70.05%,9259.43%,-46.33%,-64.90%,-99.91%,
LUNA,,,,76.18%,114.17%,215.28%,61.64%,-34.78%,14.61%,5.12%,42.38%,-86.99%,-8.92%,-94.36%,18477.74%,
FTM,,,,,,,,124760.99%,-85.62%,-22.62%,439.23%,-10.67%,128.71%,234.91%,-81.44%,
MATIC,,,,141.28%,98.72%,2254.80%,24.07%,260.02%,-96.95%,72.55%,46.17%,-72.30%,368.87%,6075.70%,-99.50%,
ARBITRUM,,,,,,,,,,,,,-100.00%,210430.77%,-89.71%,
ONE,,,,,,,4.42%,-34.63%,-55.53%,-38.90%,-45.10%,-33.25%,-71.87%,1440.00%,-47.86%,
ALGO,,,,,,,,,,,,,,,,
